context,result,question,A,B,C,D
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[C],Nhà vua chọn người có đức tính gì để truyền ngôi?,Nhà vua chọn người tài giỏi để truyền ngôi.,Nhà vua chọn người làm được nhiều thóc gạo nhất.,Nhà vua chọn người trung thực để truyền ngôi.,Nhà vua chọn người dũng cảm để truyền ngôi.
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[B],Nhà vua đã làm gì để tìm được người trung thực truyền ngôi?,Nhà vua ban cho mỗi người một thúng thóc xem ai người trung thực để truyền ngôi.,Nhà vua ban cho mỗi người một thúng thóc đã luộc và bảo: ai thu được nhiều thóc nhất sẽ được truyền ngôi.,Nhà vua ban cho mỗi người một thúng thóc xem ai tiết kiệm nhất sẽ được truyền ngôi.,Nhà vua ban cho mỗi người một thúng thóc giống và bảo: ai thu được nhiều thóc nhất sẽ được truyền ngôi.
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[C],Người nào là người trung thực được truyền ngôi báu?,Nhà vua.,Quân lính.,Chú bé Chôm.,Người dân.
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[B],Chú bé Chôm có điểm gì đặc biệt so với mọi người?,Chú đã phát hiện ra bí mật thúng thóc và tố cáo mọi người.,"Chú bé dũng cảm nói lên sự thật, không sợ bị trừng phạt.",Chú bé làm ra được nhiều thóc gạo nhất.,Chú bé đã dũng cảm nhận mình là người thua cuộc.
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[D],Tại sao chú bé Chôm là người được truyền ngôi báu?,Vì chú bé đã tố cáo được hành động gian lận của mọi người.,"Vì chú bé tài giỏi, được nhà vua yêu quý và tin tưởng.",Vì chú bé là người làm ra được nhiều thóc gạo nhất.,"Vì chú bé dũng cảm nói ra sự thật, không sợ bị trừng phạt."
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[D],Chú bé Chôm có phẩm chất gì đáng quý mà người khác không có?,Thông minh và tài giỏi.,Cần cù và chịu khó.,Ngoan ngoãn và thật thà.,Trung thực và dũng cảm.
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[A],"Theo bạn, vì sao người trung thực là người đáng quý?","Vì họ luôn nói ra sự thật, không vì lợi ích cá nhân mà nói dối làm hỏng việc chung.",Vì người trung thực luôn nói ra sự thật để có lợi cho bản thân.,"Vì người trung thực luôn được mọi người quý mến, tin tưởng.","Vì họ luôn tỏ ra thật thà, trung thực, dành được phần ưu tiên và sự tin tưởng."
"Ngày xưa có một ông vua cao tuổi muốn tìm người nối ngôi. Vua ra lệnh phát cho mỗi người dân một thúng thóc về gieo trồng và giao hẹn: ai thu được nhiều thóc nhất sẽ được truyền ngôi, ai không có thóc nộp sẽ bị trừng phạt.

Có chú bé mồ côi tên là Chôm nhận thóc về, dốc công chăm sóc mà thóc vẫn chẳng nảy mầm. 

Đến vụ thu hoạch, mọi người nô nức chở thóc về kinh thành nộp cho nhà vua. Chôm lo lắng đến trước nhà vua, quỳ tâu:

- Tâu Bệ hạ! Con không làm sao cho thóc nảy mầm được.

Mọi người đều sững sờ vì lời thú tội của Chôm. Nhưng nhà vua đã đỡ chú bé đứng dậy. Ngài hỏi còn ai để chết thóc giống không. Không ai trả lời. Lúc bấy giờ nhà vua mới ôn tồn nói:

- Trước khi phát thóc giống, ta đã cho luộc kĩ rồi. Lẽ nào thóc ấy còn mọc được? Những xe thóc đầy ắp kia đâu phải thu được từ thóc giống của ta!

Rồi vua dõng dạ nói tiếp:

- Trung thực là đức tính quý nhất của con người. Ta sẽ truyền ngôi cho chú bé trung thực và dũng cảm này.

Chôm được truyền ngôi và trở thành ông vua hiền minh.",[D],Nội dung và ý nghĩa của câu chuyện này là gì?,Phê phán người dân đã gian lận để đạt được mục đích.,"Ca ngợi nhà vua thông minh, nghĩ ra cách để tìm người tài giỏi.","Phê phán người dân chưa trung thực, dũng cảm nói ra sự thật.","Ca ngợi chú bé Chôm trung thực, dũng cảm, dám nói lên sự thật."
"Thành phố sắp vào thu. Những cơn gió nóng mùa hè đã nhường chỗ cho luồng khí mát dịu buổi sáng. Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây, hè phố.

Năm nay, tôi sẽ đi học. Ông ngoại dẫn tôi đi mua vở, chọn bút, hướng dẫn tôi cách bọc vở, dán nhãn, pha mực và dạy tôi những chữ cái đầu tiên. 

Một sáng ông bảo:

- Ông cháu mình đến xem trường thế nào.

Ông chậm rãi nhấn từng nhịp chân trên chiếc xe đạp cũ, đèo tôi tới trường. Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống. Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường. Tiếng trống buổi sáng trong trẻo ấy là tiếng trông trường đầu tiên, âm vang mãi trong đời đi học của tôi sau này.

Trước ngưỡng cửa của trường tiểu học, tôi đã may mắn có ông ngoại - thầy giáo đầu tiên của tôi.",[C],"Sắp vào thu, thành phố có gì đẹp?",Đường phố có nhiều lá vàng rơi và hoa nở rất đẹp.,Thành phố có nhiều ngôi trường mới xây rất đẹp.,"Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây hè phố.",Thành phố rất thoáng và trong lành.
"Thành phố sắp vào thu. Những cơn gió nóng mùa hè đã nhường chỗ cho luồng khí mát dịu buổi sáng. Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây, hè phố.

Năm nay, tôi sẽ đi học. Ông ngoại dẫn tôi đi mua vở, chọn bút, hướng dẫn tôi cách bọc vở, dán nhãn, pha mực và dạy tôi những chữ cái đầu tiên. 

Một sáng ông bảo:

- Ông cháu mình đến xem trường thế nào.

Ông chậm rãi nhấn từng nhịp chân trên chiếc xe đạp cũ, đèo tôi tới trường. Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống. Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường. Tiếng trống buổi sáng trong trẻo ấy là tiếng trông trường đầu tiên, âm vang mãi trong đời đi học của tôi sau này.

Trước ngưỡng cửa của trường tiểu học, tôi đã may mắn có ông ngoại - thầy giáo đầu tiên của tôi.",[B],Ông ngoại đã giúp bạn nhỏ chuẩn bị đi học như thế nào?,Dẫn bạn nhỏ đi mua cặp sách mới.,"Dẫn bạn nhỏ đi mua vở, chọn bút, … và dạy những chữ cái đầu tiên.",Dẫn bạn nhỏ đi mua áo quần mới.,Dẫn bạn nhỏ đến trường.
"Thành phố sắp vào thu. Những cơn gió nóng mùa hè đã nhường chỗ cho luồng khí mát dịu buổi sáng. Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây, hè phố.

Năm nay, tôi sẽ đi học. Ông ngoại dẫn tôi đi mua vở, chọn bút, hướng dẫn tôi cách bọc vở, dán nhãn, pha mực và dạy tôi những chữ cái đầu tiên. 

Một sáng ông bảo:

- Ông cháu mình đến xem trường thế nào.

Ông chậm rãi nhấn từng nhịp chân trên chiếc xe đạp cũ, đèo tôi tới trường. Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống. Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường. Tiếng trống buổi sáng trong trẻo ấy là tiếng trông trường đầu tiên, âm vang mãi trong đời đi học của tôi sau này.

Trước ngưỡng cửa của trường tiểu học, tôi đã may mắn có ông ngoại - thầy giáo đầu tiên của tôi.",[A],Hình ảnh đẹp nào mà em thích trong đoạn ông dẫn bạn nhỏ đến thăm trường?,"Ông dẫn bạn nhỏ đến thăm khắp các căn lớp trống, còn nhấc bổng bạn nhỏ trên tay và cho gõ thử vào chiếc trống trường.","Ông dẫn bạn nhỏ đi mua vở, chọn bút, hướng dẫn bao vở, dán nhãn, pha mực và dạy những chữ cái đầu tiên.","Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống.","Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường."
"Thành phố sắp vào thu. Những cơn gió nóng mùa hè đã nhường chỗ cho luồng khí mát dịu buổi sáng. Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây, hè phố.

Năm nay, tôi sẽ đi học. Ông ngoại dẫn tôi đi mua vở, chọn bút, hướng dẫn tôi cách bọc vở, dán nhãn, pha mực và dạy tôi những chữ cái đầu tiên. 

Một sáng ông bảo:

- Ông cháu mình đến xem trường thế nào.

Ông chậm rãi nhấn từng nhịp chân trên chiếc xe đạp cũ, đèo tôi tới trường. Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống. Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường. Tiếng trống buổi sáng trong trẻo ấy là tiếng trông trường đầu tiên, âm vang mãi trong đời đi học của tôi sau này.

Trước ngưỡng cửa của trường tiểu học, tôi đã may mắn có ông ngoại - thầy giáo đầu tiên của tôi.",[B],Vì sao bạn nhỏ gọi ông ngoại là người thầy đầu tiên?,"Vì ông ngoại là người đầu tiên dẫn bạn nhỏ đến trường, cho bạn nhỏ gõ thử vào chiếc trống trường.",Vì ông ngoại là người dạy bạn nhỏ những chữ cái đầu tiên.,Vì ông ngoại dắt bạn nhỏ đi học ngày đầu tiên.,Vì ông ngoại cùng bé đi chơi.
"Thành phố sắp vào thu. Những cơn gió nóng mùa hè đã nhường chỗ cho luồng khí mát dịu buổi sáng. Trời xanh ngắt trên cao, xanh như dòng sông trong, trôi lặng lẽ giữa những ngọn cây, hè phố.

Năm nay, tôi sẽ đi học. Ông ngoại dẫn tôi đi mua vở, chọn bút, hướng dẫn tôi cách bọc vở, dán nhãn, pha mực và dạy tôi những chữ cái đầu tiên. 

Một sáng ông bảo:

- Ông cháu mình đến xem trường thế nào.

Ông chậm rãi nhấn từng nhịp chân trên chiếc xe đạp cũ, đèo tôi tới trường. Trong cái vắng lặng của ngôi trường cuối hè, ông dẫn tôi lang thang khắp các căn lớp trống. Ông còn nhấc bổng tôi trên tay, cho gõ thử vào mặt da loang lổ của chiếc trống trường. Tiếng trống buổi sáng trong trẻo ấy là tiếng trông trường đầu tiên, âm vang mãi trong đời đi học của tôi sau này.

Trước ngưỡng cửa của trường tiểu học, tôi đã may mắn có ông ngoại - thầy giáo đầu tiên của tôi.",[B],Ông ngoại đã dạy người cháu thứ gì đầu tiên?,Dạy đọc.,Những chữ cái đầu tiên.,Gieo những hạt giống đầu tiên.,Biết cách nấu ăn.
"Ai cũng bảo bố Trung lắm hoa tay. Bố làm gì cũng khéo, viết chữ thì đẹp. Chẳng hiểu sao, Trung không có được hoa tay như thế. Tháng nào, trong sổ liên lạc, cô giáo cũng nhắc Trung phải tập viết thêm ở nhà.

Một hôm, bố lấy trong tủ ra một quyển sổ mỏng đã ngả màu, đưa cho Trung. Trung ngạc nhiên: đó là quyển sổ liên lạc của bố ngày bố còn là một cậu học trò lớp hai. Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan, học giỏi. Nhưng cuối lời phê, thầy thường nhận xét chữ bố Trung nguệch ngoạc, cần luyện viết nhiều hơn. Trung băn khoăn:

- Sao chữ bố đẹp thế mà thầy còn chê?

Bố bảo:

- Đấy là do sau này bố tập viết rất nhiều, chữ mới được như vậy.

- Thế bố có được thầy khen không?

Giọng bố buồn hẳn:

- Không. Năm bố học lớp ba, thầy đi bộ đội rồi hy sinh.",[C],"Trong sổ liên lạc, cô giáo đã nhắc Trung phải làm gì?",Phải chăm chỉ học bài hơn.,Phải kiên nhẫn và cẩn thận hơn.,Phải tập viết thêm ở nhà.,Phải chú ý và tập trung hơn.
"Ai cũng bảo bố Trung lắm hoa tay. Bố làm gì cũng khéo, viết chữ thì đẹp. Chẳng hiểu sao, Trung không có được hoa tay như thế. Tháng nào, trong sổ liên lạc, cô giáo cũng nhắc Trung phải tập viết thêm ở nhà.

Một hôm, bố lấy trong tủ ra một quyển sổ mỏng đã ngả màu, đưa cho Trung. Trung ngạc nhiên: đó là quyển sổ liên lạc của bố ngày bố còn là một cậu học trò lớp hai. Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan, học giỏi. Nhưng cuối lời phê, thầy thường nhận xét chữ bố Trung nguệch ngoạc, cần luyện viết nhiều hơn. Trung băn khoăn:

- Sao chữ bố đẹp thế mà thầy còn chê?

Bố bảo:

- Đấy là do sau này bố tập viết rất nhiều, chữ mới được như vậy.

- Thế bố có được thầy khen không?

Giọng bố buồn hẳn:

- Không. Năm bố học lớp ba, thầy đi bộ đội rồi hy sinh.",[B],Bố đưa cho Trung xem quyển sổ liên lạc của bố khi học lớp mấy?,Lớp 1.,Lớp 2.,Lớp 3.,Lớp 4.
"Ai cũng bảo bố Trung lắm hoa tay. Bố làm gì cũng khéo, viết chữ thì đẹp. Chẳng hiểu sao, Trung không có được hoa tay như thế. Tháng nào, trong sổ liên lạc, cô giáo cũng nhắc Trung phải tập viết thêm ở nhà.

Một hôm, bố lấy trong tủ ra một quyển sổ mỏng đã ngả màu, đưa cho Trung. Trung ngạc nhiên: đó là quyển sổ liên lạc của bố ngày bố còn là một cậu học trò lớp hai. Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan, học giỏi. Nhưng cuối lời phê, thầy thường nhận xét chữ bố Trung nguệch ngoạc, cần luyện viết nhiều hơn. Trung băn khoăn:

- Sao chữ bố đẹp thế mà thầy còn chê?

Bố bảo:

- Đấy là do sau này bố tập viết rất nhiều, chữ mới được như vậy.

- Thế bố có được thầy khen không?

Giọng bố buồn hẳn:

- Không. Năm bố học lớp ba, thầy đi bộ đội rồi hy sinh.",[A],"Trong các sổ liên lạc cũ của bố, thầy giáo đã ghi lời phê như thế nào về bố?",Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan và học giỏi.,Thầy phê là hach nghịch ngợm.,Thầy khen hay giúp đỡ bạn.,Thầy khen hay đi học đúng giờ.
"Ai cũng bảo bố Trung lắm hoa tay. Bố làm gì cũng khéo, viết chữ thì đẹp. Chẳng hiểu sao, Trung không có được hoa tay như thế. Tháng nào, trong sổ liên lạc, cô giáo cũng nhắc Trung phải tập viết thêm ở nhà.

Một hôm, bố lấy trong tủ ra một quyển sổ mỏng đã ngả màu, đưa cho Trung. Trung ngạc nhiên: đó là quyển sổ liên lạc của bố ngày bố còn là một cậu học trò lớp hai. Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan, học giỏi. Nhưng cuối lời phê, thầy thường nhận xét chữ bố Trung nguệch ngoạc, cần luyện viết nhiều hơn. Trung băn khoăn:

- Sao chữ bố đẹp thế mà thầy còn chê?

Bố bảo:

- Đấy là do sau này bố tập viết rất nhiều, chữ mới được như vậy.

- Thế bố có được thầy khen không?

Giọng bố buồn hẳn:

- Không. Năm bố học lớp ba, thầy đi bộ đội rồi hy sinh.",[A],Vì sao chữ bố đẹp vậy rồi mà thầy vẫn còn phê chữ bố chưa đẹp?,"Do về sau, bố chăm chỉ tập viết nhiều.",Do bố vốn viết chữ đẹp nhưng ẩu.,Do bố đi học thầy luyện chữ.,Do bố đi học thêm.
"Ai cũng bảo bố Trung lắm hoa tay. Bố làm gì cũng khéo, viết chữ thì đẹp. Chẳng hiểu sao, Trung không có được hoa tay như thế. Tháng nào, trong sổ liên lạc, cô giáo cũng nhắc Trung phải tập viết thêm ở nhà.

Một hôm, bố lấy trong tủ ra một quyển sổ mỏng đã ngả màu, đưa cho Trung. Trung ngạc nhiên: đó là quyển sổ liên lạc của bố ngày bố còn là một cậu học trò lớp hai. Trang sổ nào cũng ghi lời thầy khen bố Trung chăm ngoan, học giỏi. Nhưng cuối lời phê, thầy thường nhận xét chữ bố Trung nguệch ngoạc, cần luyện viết nhiều hơn. Trung băn khoăn:

- Sao chữ bố đẹp thế mà thầy còn chê?

Bố bảo:

- Đấy là do sau này bố tập viết rất nhiều, chữ mới được như vậy.

- Thế bố có được thầy khen không?

Giọng bố buồn hẳn:

- Không. Năm bố học lớp ba, thầy đi bộ đội rồi hy sinh.",[B],"Khi Trung nhắc tới thầy giáo cũ, thái độ của người bố như thế nào?",Vui vẻ.,Buồn.,"Bồi hồi, nhớ nhung.",Sợ hãi.
